&                  ,Conj,:                 ,136
x                  ,Prep,:                 ,16
'                  ,Gen ,:                 ,479
's                 ,Gen ,:                 ,4599
*                  ,Uncl,:                 ,15
0                  ,Num ,%                 ,26
@                  ,@   ,0                 ,26
@                  ,@   ,0s                ,0
0                  ,Num ,%                 ,15
@                  ,@   ,0                 ,15
1                  ,Num ,:                 ,11
1                  ,Num ,%                 ,385
@                  ,@   ,1                 ,385
@                  ,@   ,1s                ,1
1st                ,Ord ,:                 ,13
2                  ,Num ,%                 ,345
@                  ,@   ,2                 ,344
@                  ,@   ,2s                ,1
3                  ,Num ,%                 ,251
@                  ,@   ,3                 ,250
@                  ,@   ,3s                ,0
4                  ,Num ,%                 ,202
@                  ,@   ,4                 ,201
@                  ,@   ,4s                ,0
5                  ,Num ,%                 ,176
@                  ,@   ,5                 ,176
@                  ,@   ,5s                ,1
6                  ,Num ,%                 ,135
@                  ,@   ,6                 ,134
@                  ,@   ,6s                ,0
7                  ,Num ,%                 ,107
@                  ,@   ,7                 ,107
@                  ,@   ,7s                ,0
8                  ,Num ,%                 ,97
@                  ,@   ,8                 ,97
@                  ,@   ,8s                ,0
9                  ,Num ,%                 ,80
@                  ,@   ,9                 ,80
@                  ,@   ,9s                ,0
10                 ,Num ,%                 ,187
@                  ,@   ,10                ,186
@                  ,@   ,10s               ,1
10%                ,NoC ,:                 ,13
11                 ,Num ,%                 ,93
@                  ,@   ,11                ,92
@                  ,@   ,11s               ,0
12                 ,Num ,%                 ,121
@                  ,@   ,12                ,121
@                  ,@   ,12s               ,0
13                 ,Num ,%                 ,76
@                  ,@   ,13                ,76
@                  ,@   ,13s               ,0
14                 ,Num ,%                 ,80
@                  ,@   ,14                ,80
@                  ,@   ,14s               ,0
15                 ,Num ,%                 ,110
@                  ,@   ,15                ,109
@                  ,@   ,15s               ,0
16                 ,Num ,%                 ,81
@                  ,@   ,16                ,81
@                  ,@   ,16s               ,1
17                 ,Num ,%                 ,63
@                  ,@   ,17                ,63
18                 ,Num ,%                 ,81
@                  ,@   ,18                ,81
@                  ,@   ,18s               ,0
18th               ,Ord ,:                 ,10
19                 ,Num ,%                 ,53
@                  ,@   ,19                ,53
19th               ,Ord ,:                 ,12
20                 ,Num ,%                 ,133
@                  ,@   ,20                ,131
@                  ,@   ,20s               ,1
20%                ,NoC ,:                 ,11
21                 ,Num ,%                 ,56
@                  ,@   ,21                ,56
@                  ,@   ,21s               ,0
22                 ,Num ,%                 ,53
@                  ,@   ,22                ,53
23                 ,Num ,%                 ,48
@                  ,@   ,23                ,48
@                  ,@   ,23s               ,0
24                 ,Num ,%                 ,65
@                  ,@   ,24                ,65
25                 ,Num ,%                 ,77
@                  ,@   ,25                ,77
@                  ,@   ,25s               ,0
26                 ,Num ,%                 ,44
@                  ,@   ,26                ,44
27                 ,Num ,%                 ,43
@                  ,@   ,27                ,43
28                 ,Num ,%                 ,50
@                  ,@   ,28                ,50
@                  ,@   ,28s               ,0
29                 ,Num ,%                 ,40
@                  ,@   ,29                ,40
30                 ,Num ,%                 ,116
@                  ,@   ,30                ,114
@                  ,@   ,30s               ,1
31                 ,Num ,%                 ,51
@                  ,@   ,31                ,51
32                 ,Num ,%                 ,20
@                  ,@   ,32                ,20
@                  ,@   ,32s               ,0
33                 ,Num ,%                 ,17
@                  ,@   ,33                ,17
34                 ,Num ,%                 ,15
@                  ,@   ,34                ,15
35                 ,Num ,%                 ,25
@                  ,@   ,35                ,25
@                  ,@   ,35s               ,0
36                 ,Num ,%                 ,17
@                  ,@   ,36                ,17
37                 ,Num ,%                 ,14
@                  ,@   ,37                ,14
38                 ,Num ,%                 ,15
@                  ,@   ,38                ,15
39                 ,Num ,:                 ,13
40                 ,Num ,%                 ,58
@                  ,@   ,40                ,57
@                  ,@   ,40s               ,1
41                 ,Num ,%                 ,12
@                  ,@   ,41                ,12
42                 ,Num ,%                 ,14
@                  ,@   ,42                ,14
@                  ,@   ,42s               ,0
43                 ,Num ,:                 ,12
44                 ,Num ,%                 ,12
@                  ,@   ,44                ,12
45                 ,Num ,%                 ,22
@                  ,@   ,45                ,22
@                  ,@   ,45s               ,0
46                 ,Num ,:                 ,11
47                 ,Num ,%                 ,11
@                  ,@   ,47                ,11
48                 ,Num ,:                 ,15
50                 ,Num ,%                 ,68
@                  ,@   ,50                ,67
@                  ,@   ,50s               ,1
50%                ,NoC ,:                 ,11
52                 ,Num ,%                 ,10
@                  ,@   ,52                ,10
55                 ,Num ,%                 ,12
@                  ,@   ,55                ,12
60                 ,Num ,%                 ,43
@                  ,@   ,60                ,41
@                  ,@   ,60s               ,2
65                 ,Num ,%                 ,17
@                  ,@   ,65                ,17
70                 ,Num ,%                 ,29
@                  ,@   ,70                ,26
@                  ,@   ,70s               ,2
75                 ,Num ,%                 ,17
@                  ,@   ,75                ,17
@                  ,@   ,75s               ,0
80                 ,Num ,%                 ,28
@                  ,@   ,80                ,26
@                  ,@   ,80s               ,2
90                 ,Num ,%                 ,25
@                  ,@   ,90                ,23
@                  ,@   ,90s               ,1
93                 ,Num ,:                 ,13
100                ,Num ,%                 ,69
@                  ,@   ,100               ,69
120                ,Num ,%                 ,10
@                  ,@   ,120               ,10
150                ,Num ,%                 ,18
@                  ,@   ,150               ,18
200                ,Num ,%                 ,35
